"Day","Year A","Year B","Year C"
"Ash Wednesday","Joel 2:1-2,12-17 or Isa 58:1-12|Ps 103 or 103:8-14|2 Cor 5:20-6:10|Matt 6:1-6,16-21","Joel 2:1-2,12-17 or Isa 58:1-12|Ps 103 or 103:8-14|2 Cor 5:20-6:10|Matt 6:1-6,16-21","Joel 2:1-2,12-17 or Isa 58:1-12|Ps 103 or 103:8-14|2 Cor 5:20-6:10|Matt 6:1-6,16-21"

"Palm Sunday","Matt 21:1-11|Ps 118:19-29|Isa 52:13-53:12|Ps 22:1-22v or Ps 22:1-11v or Ps 31:10-18v|Phil 2:5-11|Matt(26:36-75)27:1-54(55-66)","Mark 11:1-11a|Ps 118:19-29|Isa 52:13-53:12|Ps 22:1-22v or Ps 22:1-11v or Ps 31:10-18v|Phil 2:5-11|Mark(14:32-72)15:1-39(40-47)","Luke 19:29-40|Ps 118:19-29|Isa 52:13-53:12|Ps 22:1-22v or Ps 22:1-11v or Ps 31:10-18v|Phil 2:5-11|Luke(22:39-71)23:1-49(50-56)"
"Monday of Holy Week","Isa 42:1-9|Ps 36:5-10|Heb 11:39-12:3|John 12:1-11 or Mark 14:3-9","Isa 42:1-9|Ps 36:5-10|Heb 11:39-12:3|John 12:1-11 or Mark 14:3-9","Isa 42:1-9|Ps 36:5-10|Heb 11:39-12:3|John 12:1-11 or Mark 14:3-9"
"Tuesday of Holy Week","Isa 49:1-6|Ps 71:1-11v|1 Cor 1:18-31|John 12:37-38,42-50 or Mark 11:15-19","Isa 49:1-6|Ps 71:1-11v|1 Cor 1:18-31|John 12:37-38,42-50 or Mark 11:15-19","Isa 49:1-6|Ps 71:1-11v|1 Cor 1:18-31|John 12:37-38,42-50 or Mark 11:15-19"
"Wednesday of Holy Week","Isa 50:4-9|Ps 69:6-14,21-22v|Heb 9:11-28|Matt 26:1-5,14-25","Isa 50:4-9|Ps 69:6-14,21-22v|Heb 9:11-28|Matt 26:1-5,14-25","Isa 50:4-9|Ps 69:6-14,21-22v|Heb 9:11-28|Matt 26:1-5,14-25"
"Maundy Thursday","Ex 12:1-14|Ps 78:15-26v|1 Cor 11:23-26(27-34)|John 13:1-15 or Luke 22:14-30","Ex 12:1-14|Ps 78:15-26v|1 Cor 11:23-26(27-34)|John 13:1-15 or Luke 22:14-30","Ex 12:1-14|Ps 78:15-26v|1 Cor 11:23-26(27-34)|John 13:1-15 or Luke 22:14-30"
"Good Friday","Gen 22:1-18 or Isa 52:13-53:12|Ps 22:1-11(12-21)v or Ps 40:1-16v or Ps 69:1-22v|Heb 10:1-25|John(18:1-40)19:1-37","Gen 22:1-18 or Isa 52:13-53:12|Ps 22:1-11(12-21)v or Ps 40:1-16v or Ps 69:1-22v|Heb 10:1-25|John(18:1-40)19:1-37","Gen 22:1-18 or Isa 52:13-53:12|Ps 22:1-11(12-21)v or Ps 40:1-16v or Ps 69:1-22v|Heb 10:1-25|John(18:1-40)19:1-37"
"Holy Saturday","Job 14:1-17|Ps 130 or 31:1-6v|1 Pet 4:1-8|Matt 27:57-66 or John 19:38-42","Job 14:1-17|Ps 130 or 31:1-6v|1 Pet 4:1-8|Matt 27:57-66 or John 19:38-42","Job 14:1-17|Ps 130 or 31:1-6v|1 Pet 4:1-8|Matt 27:57-66 or John 19:38-42"

"The Great Vigil of Easter","Gen 1:1-2:3|Gen 3|Gen 7:1-5,11-18; 8:6-20; 9:8-13|Gen 22:1-18|Ex 14:10-15:1|Isa 4:2-6|Isa 55:1-11|Ezek 36:24-28|Ezek 37:1-14|Dan 3:1-28|Jonah 1:1-2:10|Zeph 3:12-20|Rom 6:3-11|Matt 28:1-10","Gen 1:1-2:3|Gen 3|Gen 7:1-5,11-18; 8:6-20; 9:8-13|Gen 22:1-18|Ex 14:10-15:1|Isa 4:2-6|Isa 55:1-11|Ezek 36:24-28|Ezek 37:1-14|Dan 3:1-28|Jonah 1:1-2:10|Zeph 3:12-20|Rom 6:3-11|Matt 28:1-10","Gen 1:1-2:3|Gen 3|Gen 7:1-5,11-18; 8:6-20; 9:8-13|Gen 22:1-18|Ex 14:10-15:1|Isa 4:2-6|Isa 55:1-11|Ezek 36:24-28|Ezek 37:1-14|Dan 3:1-28|Jonah 1:1-2:10|Zeph 3:12-20|Rom 6:3-11|Matt 28:1-10"
"Easter Day: Early Service","Use one of the Old Testament Lessons from the Vigil|Ps 114|Rom 6:3-11|Matt 28:1-10","Use one of the Old Testament Lessons from the Vigil|Ps 114|Rom 6:3-11|Matt 28:1-10","Use one of the Old Testament Lessons from the Vigil|Ps 114|Rom 6:3-11|Matt 28:1-10"
"Easter Day: Principal Service","Acts 10:34-43 or Ex 14:10-14,21-31|Ps 118:14-17,22-24|Col 3:1-4 or Acts 10:34-43|John 20:1-10(11-18)or Matt 28:1-10","Acts 10:34-43 or Isa 25:6-9|Ps 118:14-17,22-24|Col 3:1-4 or Acts 10:34-43|Mark 16:1-8","Acts 10:34-43 or Isa 51:9-11|Ps 118:14-17,22-24|Col 3:1-4 or Acts 10:34-43|Luke 24:1-12"
"Easter Day: Evening Service","Dan 12:1-3|Ps 136|1 Cor 5:6-8|Luke 24:13-35","Dan 12:1-3|Ps 136|1 Cor 5:6-8|Luke 24:13-35","Dan 12:1-3|Ps 136|1 Cor 5:6-8|Luke 24:13-35"
"Monday of Easter Week","Acts 2:14,22-32|Ps 16|Matt 28:9-15","Acts 2:14,22-32|Ps 16|Matt 28:9-15","Acts 2:14,22-32|Ps 16|Matt 28:9-15"
"Tuesday of Easter Week","Acts 2:14,36-41|Ps 33:17-21v|John 20:11-18","Acts 2:14,36-41|Ps 33:17-21v|John 20:11-18","Acts 2:14,36-41|Ps 33:17-21v|John 20:11-18"
"Wednesday of Easter Week","Acts 3:1-10|Ps 105:1-8v|Luke 24:13-35","Acts 3:1-10|Ps 105:1-8v|Luke 24:13-35","Acts 3:1-10|Ps 105:1-8v|Luke 24:13-35"
"Thursday of Easter Week","Acts 3:11-26|Ps 8|Luke 24:36-49","Acts 3:11-26|Ps 8|Luke 24:36-49","Acts 3:11-26|Ps 8|Luke 24:36-49"
"Friday of Easter Week","1 Pet 1:3-9|Ps 116:1-9v|John 21:1-14","1 Pet 1:3-9|Ps 116:1-9v|John 21:1-14","1 Pet 1:3-9|Ps 116:1-9v|John 21:1-14"
"Saturday of Easter Week","Acts 4:1-22|Ps 118:14-18|Mark 16:9-20","Acts 4:1-22|Ps 118:14-18|Mark 16:9-20","Acts 4:1-22|Ps 118:14-18|Mark 16:9-20"

"Ascension Day","Acts 1:1-11|Ps 47 or 110:1-5|Eph 1:15-23|Luke 24:44-53 or Mark 16:9-20","Acts 1:1-11|Ps 47 or 110:1-5|Eph 1:15-23|Luke 24:44-53 or Mark 16:9-20","Acts 1:1-11|Ps 47 or 110:1-5|Eph 1:15-23|Luke 24:44-53 or Mark 16:9-20"

"The Circumcision and Holy Name of Our Lord Jesus Christ","Ex 34:1-9|Ps 8|Rom 1:1-7|Luke 2:15-21","Ex 34:1-9|Ps 8|Rom 1:1-7|Luke 2:15-21","Ex 34:1-9|Ps 8|Rom 1:1-7|Luke 2:15-21"
"The Epiphany of Our Lord Jesus Christ","Isa 60:1-9|Ps 72 or 72:1-11|Eph 3:1-13|Matt 2:1-12","Isa 60:1-9|Ps 72 or 72:1-11|Eph 3:1-13|Matt 2:1-12","Isa 60:1-9|Ps 72 or 72:1-11|Eph 3:1-13|Matt 2:1-12"
"Confession of Peter the Apostle","Acts 4:8-13|Ps 23|1 Pet 5:1-11|Matt 16:13-19","Acts 4:8-13|Ps 23|1 Pet 5:1-11|Matt 16:13-19","Acts 4:8-13|Ps 23|1 Pet 5:1-11|Matt 16:13-19"
"Conversion of Paul the Apostle","Acts 26:9-21|Ps 67|Gal 1:11-24|Matt 10:16-25","Acts 26:9-21|Ps 67|Gal 1:11-24|Matt 10:16-25","Acts 26:9-21|Ps 67|Gal 1:11-24|Matt 10:16-25"
"The Presentation of Our Lord Jesus Christ in the Temple","Mal 3:1-4|Ps 84|Heb 2:14-18|Luke 2:22-40","Mal 3:1-4|Ps 84|Heb 2:14-18|Luke 2:22-40","Mal 3:1-4|Ps 84|Heb 2:14-18|Luke 2:22-40"
"Matthias the Apostle","Acts 1:15-26|Ps 15|Phil 3:12-21|John 15:1-16","Acts 1:15-26|Ps 15|Phil 3:12-21|John 15:1-16","Acts 1:15-26|Ps 15|Phil 3:12-21|John 15:1-16"
"Joseph, Husband of the Virgin Mary and Guardian of Jesus","2 Sam 7:4,8-16|Ps 89:1-4(5-18)19-29v|Rom 4:13-18|Luke 2:41-52","2 Sam 7:4,8-16|Ps 89:1-4(5-18)19-29v|Rom 4:13-18|Luke 2:41-52","2 Sam 7:4,8-16|Ps 89:1-4(5-18)19-29v|Rom 4:13-18|Luke 2:41-52"
"The Annunciation of our Lord Jesus Christ to the Virgin Mary","Isa 7:10-14|Ps 40:1-13v or Magnificat|Heb 10:5-10|Luke 1:26-38","Isa 7:10-14|Ps 40:1-13v or Magnificat|Heb 10:5-10|Luke 1:26-38","Isa 7:10-14|Ps 40:1-13v or Magnificat|Heb 10:5-10|Luke 1:26-38"
"Mark the Evangelist","Isa 52:7-10|Ps 2|Eph 4:7-8,11-16|Mark 16:15-20","Isa 52:7-10|Ps 2|Eph 4:7-8,11-16|Mark 16:15-20","Isa 52:7-10|Ps 2|Eph 4:7-8,11-16|Mark 16:15-20"
"Philip and James, Apostles","Isa 30:18-21|Ps 119:33-40|2 Cor 4:1-7|John 14:6-14","Isa 30:18-21|Ps 119:33-40|2 Cor 4:1-7|John 14:6-14","Isa 30:18-21|Ps 119:33-40|2 Cor 4:1-7|John 14:6-14"
"The Visitation of the Virgin Mary to Elizabeth and Zechariah","Zeph 3:14-18|Ps 113 or Ecce Deus|Col 3:12-17|Luke 1:39-56","Zeph 3:14-18|Ps 113 or Ecce Deus|Col 3:12-17|Luke 1:39-56","Zeph 3:14-18|Ps 113 or Ecce Deus|Col 3:12-17|Luke 1:39-56"
"Barnabas the Apostle","Isa 42:5-12|Ps 112|Acts 11:19-30,13:1-3|Matt 10:7-16","Isa 42:5-12|Ps 112|Acts 11:19-30,13:1-3|Matt 10:7-16","Isa 42:5-12|Ps 112|Acts 11:19-30,13:1-3|Matt 10:7-16"
"The Nativity of John the Baptist","Isa 40:1-11|Ps 85:7-13|Acts 13:14b-26|Luke 1:57-80","Isa 40:1-11|Ps 85:7-13|Acts 13:14b-26|Luke 1:57-80","Isa 40:1-11|Ps 85:7-13|Acts 13:14b-26|Luke 1:57-80"
"Peter and Paul, Apostles","Ezek 34:11-16|Ps 87|2 Tim 4:1-8|John 21:15-19","Ezek 34:11-16|Ps 87|2 Tim 4:1-8|John 21:15-19","Ezek 34:11-16|Ps 87|2 Tim 4:1-8|John 21:15-19"
"Mary Magdalene","Judg 4:4-10 or Judith 9:1,11-14|Ps 42:1-7(8-15)|2 Cor 5:14-20a|John 20:11-18","Judg 4:4-10 or Judith 9:1,11-14|Ps 42:1-7(8-15)|2 Cor 5:14-20a|John 20:11-18","Judg 4:4-10 or Judith 9:1,11-14|Ps 42:1-7(8-15)|2 Cor 5:14-20a|John 20:11-18"
"James the Elder, Apostle","Jer 45:1-5|Ps 7:1-11(12-18)|Acts 11:27-12:3|Matt 20:20-28","Jer 45:1-5|Ps 7:1-11(12-18)|Acts 11:27-12:3|Matt 20:20-28","Jer 45:1-5|Ps 7:1-11(12-18)|Acts 11:27-12:3|Matt 20:20-28"
"The Transfiguration of Our Lord Jesus Christ","Ex 34:29-35|Ps 99|2 Pet 1:13-21|Luke 9:28-36","Ex 34:29-35|Ps 99|2 Pet 1:13-21|Luke 9:28-36","Ex 34:29-35|Ps 99|2 Pet 1:13-21|Luke 9:28-36"
"The Virgin Mary, Mother of Our Lord Jesus Christ","Isa 61:10-11|Ps 34|Gal 4:4-7|Luke 1:46-55","Isa 61:10-11|Ps 34|Gal 4:4-7|Luke 1:46-55","Isa 61:10-11|Ps 34|Gal 4:4-7|Luke 1:46-55"
"Bartholomew the Apostle","Deut 18:15-18|Ps 91|1 Cor 4:9-16|Luke 22:24-30","Deut 18:15-18|Ps 91|1 Cor 4:9-16|Luke 22:24-30","Deut 18:15-18|Ps 91|1 Cor 4:9-16|Luke 22:24-30"
"Holy Cross Day","Isa 45:21-25|Ps 98|Phil 2:5-11|John 12:31-36a","Isa 45:21-25|Ps 98|Phil 2:5-11|John 12:31-36a","Isa 45:21-25|Ps 98|Phil 2:5-11|John 12:31-36a"
"Matthew, Apostle and Evangelist","Prov 3:1-12|Ps 119:33-40|2 Tim 3:1-17|Matt 9:9-13","Prov 3:1-12|Ps 119:33-40|2 Tim 3:1-17|Matt 9:9-13","Prov 3:1-12|Ps 119:33-40|2 Tim 3:1-17|Matt 9:9-13"
"Holy Michael and All Angels","Gen 28:10-17|Ps 103|Rev 12:7-12|John 1:47-51","Gen 28:10-17|Ps 103|Rev 12:7-12|John 1:47-51","Gen 28:10-17|Ps 103|Rev 12:7-12|John 1:47-51"
"Luke the Evangelist and Companion of Paul","Ecclesiasticus 38:1-14|Ps 147:1-11v|2 Tim 4:1-13|Luke 4:14-21","Ecclesiasticus 38:1-14|Ps 147:1-11v|2 Tim 4:1-13|Luke 4:14-21","Ecclesiasticus 38:1-14|Ps 147:1-11v|2 Tim 4:1-13|Luke 4:14-21"
"James of Jerusalem, Bishop and Martyr, Brother of Our Lord","Acts 15:12-22a|Ps 1|1 Cor 15:1-11|Matt 13:54-58","Acts 15:12-22a|Ps 1|1 Cor 15:1-11|Matt 13:54-58","Acts 15:12-22a|Ps 1|1 Cor 15:1-11|Matt 13:54-58"
"Simon and Jude, Apostles","Deut 32:1-4|Ps 119:89-96|Eph 2:13-22|John 15:17-27","Deut 32:1-4|Ps 119:89-96|Eph 2:13-22|John 15:17-27","Deut 32:1-4|Ps 119:89-96|Eph 2:13-22|John 15:17-27"
"All Saints' Day","Ecclesiasticus 44:1-14 or Rev 7:9-17|Ps 149|Rev 7:9-17 or Eph 1:(11-14)15-23|Matt 5:1-12 or Luke 6:20-26(27-36)","Ecclesiasticus 44:1-14 or Rev 7:9-17|Ps 149|Rev 7:9-17 or Eph 1:(11-14)15-23|Matt 5:1-12 or Luke 6:20-26(27-36)","Ecclesiasticus 44:1-14 or Rev 7:9-17|Ps 149|Rev 7:9-17 or Eph 1:(11-14)15-23|Matt 5:1-12 or Luke 6:20-26(27-36)"
"Andrew the Apostle","Deut 30:11-14|Ps 19 or 19:1-6|Rom 10:8b-18|Matt 4:18-22","Deut 30:11-14|Ps 19 or 19:1-6|Rom 10:8b-18|Matt 4:18-22","Deut 30:11-14|Ps 19 or 19:1-6|Rom 10:8b-18|Matt 4:18-22"
"Thomas the Apostle","Hab 2:1-4|Ps 126|Heb 10:35-11:1|John 20:19-29","Hab 2:1-4|Ps 126|Heb 10:35-11:1|John 20:19-29","Hab 2:1-4|Ps 126|Heb 10:35-11:1|John 20:19-29"
"The Nativity of Our Lord Jesus Christ: Christmas Day I","Isa 9:1-7|Ps 96|Titus 2:11-14|Luke 2:1-14(15-20)","Isa 9:1-7|Ps 96|Titus 2:11-14|Luke 2:1-14(15-20)","Isa 9:1-7|Ps 96|Titus 2:11-14|Luke 2:1-14(15-20)"
"The Nativity of Our Lord Jesus Christ: Christmas Day II","Isa 62:6-12|Ps 97|Titus 3:4-7|Luke 2:(1-14)15-20","Isa 62:6-12|Ps 97|Titus 3:4-7|Luke 2:(1-14)15-20","Isa 62:6-12|Ps 97|Titus 3:4-7|Luke 2:(1-14)15-20"
"The Nativity of Our Lord Jesus Christ: Christmas Day III","Isa 52:7-12|Ps 98|Heb 1:1-12|John 1:1-18","Isa 52:7-12|Ps 98|Heb 1:1-12|John 1:1-18","Isa 52:7-12|Ps 98|Heb 1:1-12|John 1:1-18"
"Stephen, Deacon and Martyr","Jer 26:1-9(10-11)12-15|Ps 31:1-6(7-27)v|Acts 6:8-7:2a,51-60|Matt 23:29-39","Jer 26:1-9(10-11)12-15|Ps 31:1-6(7-27)v|Acts 6:8-7:2a,51-60|Matt 23:29-39","Jer 26:1-9(10-11)12-15|Ps 31:1-6(7-27)v|Acts 6:8-7:2a,51-60|Matt 23:29-39"
"John, Apostle and Evangelist","Ex 33:18-23|Ps 92:1-4(5-10)11-14|1 John 1|John 21:9-25 or John 1:1-18","Ex 33:18-23|Ps 92:1-4(5-10)11-14|1 John 1|John 21:9-25 or John 1:1-18","Ex 33:18-23|Ps 92:1-4(5-10)11-14|1 John 1|John 21:9-25 or John 1:1-18"
"The Holy Innocents","Jer 31:15-17|Ps 124|Rev 21:1-7|Matt 2:13-18","Jer 31:15-17|Ps 124|Rev 21:1-7|Matt 2:13-18","Jer 31:15-17|Ps 124|Rev 21:1-7|Matt 2:13-18"
